likes,views,engagement_pct,post_date,creator_handle,creator_name,followers,shop_video,video_url,caption
106,2599,4.08,2024-02-19,@pq.founder.shelby,PQ Shelby,1094,no,https://www.tiktok.com/@pq.founder.shelby/video/7337433318301945131,sorry im in my healthy girl era ✨  #healthy #healthygirl #nightroutine #selfcare #selfcare
105,303,34.65,2026-08-04,@lifeofmamajenn,Jenn 🌷,2804,no,https://www.tiktok.com/@lifeofmamajenn/video/7670260579487059230,I am so excited to try these out 🫶🏼 I’m a newbie 😙🤏🏼 just tried these out and hold I feel 
105,1763,5.96,2025-12-10,@health.with.ash,Ashlee I PMOS Dietitian🩷,125700,no,https://www.tiktok.com/@health.with.ash/video/7582368295915932958,Full day of eats as a dietitian 🫶🏼  #wieiad #highproteinmeals #fulldayofeats #wholefood #p
105,7622,1.38,2026-05-19,@drew.review1,Drew Review,162900,YES,https://www.tiktok.com/@drew.review1/video/7641727542306540813,Chronic NSAIDs use is linked to joint health issues and here is why plus what are alternat
105,4426,2.37,2024-11-13,@purelywellbeing,purelywellbeing,13900,no,https://www.tiktok.com/@purelywellbeing/video/7436872556394581294,I dont bleed as heavy anymore either..but what really bothered me was the cramps honestly 
104,12400,0.84,2026-02-16,@proyectobebe,@ProyectoBebé,73500,YES,https://www.tiktok.com/@proyectobebe/video/7607510562515275038,Parte de mi rutina diaria ✨ Me gusta cuidar mi cuerpo desde adentro y ser constante con lo
104,7834,1.33,2026-03-11,@natural_minded_mama,Kasi DeStefano,176700,YES,https://www.tiktok.com/@natural_minded_mama/video/7616122654529015054,I’m all about being honest because lying to people is setting them up for disappointment a
103,1839,5.6,2026-07-13,@roswellalien,Danielle | Work & Life ❤️,5868,YES,https://www.tiktok.com/@roswellalien/video/7662027412770737438,Take your daily Marrow vitamins ladies from @Primal Queen!! Created by a woman for women!!
103,3363,3.06,2025-07-10,@theonlystarlee,Starlee | Mom Finds,8701,YES,https://www.tiktok.com/@theonlystarlee/video/7525546995709267255,The supplement that tops them all is on sale! #primalqueen #beeforgans #womenshealth #supp
103,11300,0.91,2024-10-06,@linzibcochran,Linzi with a Z✌🏼,19600,YES,https://www.tiktok.com/@linzibcochran/video/7422466787956067614,Beef Organ supplements!🐄 These have so many great benefits!!🤍 #primalqueen #primalqueensup
101,71800,0.14,2025-03-17,@raisingarrowstexas,Courtney | RaisingArrowsTx,6096,YES,https://www.tiktok.com/@raisingarrowstexas/video/7482899388952595754,Limited time coupon and sale on Primal Queen starter sets!!! #springtok #keto #carnivore #
101,13300,0.76,2026-02-07,@thedoctorincowgirlboots,TheDoctorInCowgirlBoots,10800,YES,https://www.tiktok.com/@thedoctorincowgirlboots/video/7603967607879879966,Don’t eat this!!! #contentcreator #motherhood #PrimalQueen #womenssupplements #beeforgans
99,20000,0.49,2025-02-21,@its.sarah.taylor,Sarah Taylor 🤎,18500,YES,https://www.tiktok.com/@its.sarah.taylor/video/7473872599320120618,@Primal Queen just earned a forever spot in my cabinet.  #primalqueen #beef #beefliver #be
99,8413,1.18,2026-03-14,@the_health_plug,Cory Webster,47100,no,https://www.tiktok.com/@the_health_plug/video/7616916222126361869,"Primal queen, giveaway winner announcement!  #ttc"
99,3715,2.66,2024-12-02,@purelywellbeing,purelywellbeing,13900,no,https://www.tiktok.com/@purelywellbeing/video/7443943628306795822,Replying to @jetinc222 i stopped taking mine #beeforgans #beefliver #anemic #anemia #welln
98,861,11.38,2026-01-02,@allthingsmikita0,allthingsmikita,9344,no,https://www.tiktok.com/@allthingsmikita0/video/7590592859745602847,Primal Queen vitamins are really helping with menopause symptoms! I’m not an orange cart g
97,86800,0.11,2025-08-06,@calikellydeals,Cali Kelly,9986,YES,https://www.tiktok.com/@calikellydeals/video/7535619511521643806,"The girls who know, never run out. Primal Queen refill packs on sale NOW. Limited time onl"
96,1479,6.49,2025-04-25,@laterical.missfun,laterical.missfun40,70,no,https://www.tiktok.com/@laterical.missfun/video/7497050936733453610,"Wanted to try this out! Heard some great reviews about it. Day 1 - have had more energy, n"
96,2209,4.35,2026-05-21,@diary.of.nks_,N K S 🪽🦋🫧,2763,no,https://www.tiktok.com/@diary.of.nks_/video/7642496419948973343,All about the supplements I take to increase my ferritin! #lowferritin #ferritin @MaryRuth
94,5226,1.8,2026-07-19,@ky_mom_swag,Brittany Mitchell,951700,YES,https://www.tiktok.com/@ky_mom_swag/video/7664026225408593182,Have y’all tried it? I can’t wait to see what this does for me. I’ve heard so many good th
94,2734,3.44,2024-12-30,@kaylafensty,Kayla 💖🎀,39000,no,https://www.tiktok.com/@kaylafensty/video/7454279999621713183,@Primal Queen My beef organ women based supplement came in & I’m so excited!! Y’all stay t
93,904,10.29,2026-02-25,@kadiem84,Kadijah✨,9839,YES,https://www.tiktok.com/@kadiem84/video/7610913808948727054,"I don’t gatekeep what actually works. 3 weeks in and I’m locked in. If you’ve been tired, "
